title,episodes,type
Bakutsuri Bar Hunter Movie: Nazo no Barcode Trial! Bakutsure! Shinkaigyo Poseidon,1.0,movie
Balala Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,26.0,tv
Balala Xiao Mo Xian Zhi: Meng Huan Xuan Lu,52.0,tv
Balala Xiao Mo Xian: Caihong Xin Shi,36.0,tv
Balala Xiao Mo Xian: Feiyue Cai Ling Bao 2nd Season,26.0,tv
Balala Xiao Mo Xian: Mofa Hai Ying Bao,26.0,tv
Balala Xiao Mo Xian: Mofa Hai Ying Bao 2nd Season,26.0,tv
Balala Xiao Mo Xian: Mofa Xing Yuan Bao,26.0,tv
Balala Xiao Mo Xian: Qiji Wubu,52.0,tv
Balthus: Tia no Kagayaki,1.0,ova
Bamboo Blade: CM Fanfu-Fufe-Fo,24.0,special
Bamboo Blade: Fanfu-Fufe-Fo,2.0,special
BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,2.0,ona
BanG Dream! Garupa☆Pico: Oomori,26.0,ona
BanG Dream! Movie: Episode of Roselia - I: Yakusoku,1.0,movie
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,1.0,movie
BanG Dream! Movie: Poppin' Dream!,1.0,movie
BanG Dream!: Asonjatta!,1.0,special
Bananya: Fushigi na Nakama-tachi,13.0,tv
Bang Bang Long Chudong: Chuanshuo Zhong De Longwang,16.0,ona
Bao Chong Huojian Che: Che Wang Zhi Zhan,26.0,tv
Bao Chong Huojian Che: Fei Qing de Zhaohuan,26.0,tv
Bao Ji Qiangshou: AK Xiyou,12.0,ona
Bao Ji Qiangshou: T de Richang,6.0,ona
Baobao Bashi: Qimiao Hanzi,48.0,ona
Baobao Bashi: Qimiao Hao Xiguan,17.0,ona
Baobao Bashi: Qimiao Jiuyuan Dui,32.0,ona
Baobao Bashi: Qimiao Shuxue Da Maoxian,24.0,ona
Baobao Bashi: Qimiao de Jieri,9.0,ona
Baobao Bashi: Xiongmao Qi Qi,16.0,ona
Baobao Yue Xuetang: Binfen Kuaile Hao,180.0,tv
Baobao Yue Xuetang: Fengkuang Tushu Guan,150.0,tv
Baobao Yue Xuetang: Kuaile Tonghua Cheng,250.0,tv
Baobao Yue Xuetang: Qimiao Wanhuatong,150.0,tv
Baobao Yue Xuetang: Xiha Maoxian Dao,100.0,tv
Baobao Yue Xuetang: Zhihui Xingyun Xing,150.0,tv
Baobei Nuer Hao Mama: Chi Jiyi De Daxue Qiu,1.0,movie
Baobei Nuer Hao Mama: Kuaile De Jiating,100.0,tv
Baolie Feiche 3: Shou Shen Heti,52.0,ona
Baolie Feiche II: Xing Neng Juexing,26.0,ona
Baosheng Dadi: Qi Er Duo Bao,52.0,tv
Bartender: Kami no Glass,,tv
Bary-san x Gospe Rats: Tonde Bary Bary Monogatari,1.0,music
Basilisk: Kouga Ninpou Chou,24.0,tv
Basilisk: Ouka Ninpouchou,24.0,tv
Batman: Gotham Knight,6.0,ova
Battle Spirits: Brave,50.0,tv
Battle Spirits: Burning Soul,51.0,tv
Battle Spirits: Double Drive,51.0,tv
Battle Spirits: Heroes,50.0,tv
Battle Spirits: Kakumei no Galette,5.0,ona
Battle Spirits: Mirage,4.0,ona
Battle Spirits: Ryuuko no Ken,1.0,special
Battle Spirits: Saga Brave,3.0,ona
Battle Spirits: Shounen Gekiha Dan,50.0,tv
Battle Spirits: Shounen Toppa Bashin,50.0,tv
Battle Spirits: Sword Eyes,29.0,tv
Battle Spirits: Sword Eyes Gekitouden,21.0,tv
Bayonetta: Bloody Fate,1.0,movie
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie,1.0,movie
Beelzebub: Hirotta Akachan wa Daimaou!?,1.0,special
Bei Ken Xiong 2: Jinpai Tegong,1.0,movie
Bem Movie: Become Human,1.0,movie
Ben Ben You Youji: Chuanyue Huaxia,42.0,tv
Ben Ben You Youji: Mala Xialingying,50.0,tv
